case,slice_thickness,pixel_spacing,rows,cols,kvp,n_slices
20001,5.0,0.831,512,512,,113
20002,2.0,0.789,512,512,,218
20003,3.0,0.728516,512,512,,158
20004,2.5,0.976562,512,512,,211
20005,3.0,0.841797,512,512,,175
20006,1.5,0.8671875,512,512,,357
20007,2.0,0.68359375,512,512,,420
20008,2.5,0.880859,512,512,,205
20009,1.0,0.85,512,512,,626
20010,5.0,0.814453125,512,512,,64
20011,3.0,0.723,512,512,,141
20012,3.0,0.523,512,512,,95
20013,1.0,0.709,512,512,,594
20014,2.5,0.978,512,512,,501
20015,2.5,0.837891,512,512,,180
20016,5.0,1.171,512,512,,100
20017,1.25,0.849609,512,512,,405
20018,1.25,0.806641,512,512,,430
20019,5.0,0.808,512,512,,101
20020,2.5,0.78125,512,512,,186
20021,2.5,0.859375,512,512,,427
20022,2.5,0.703125,512,512,,259
20023,0.8,0.771484375,512,512,,597
20024,3.0,0.93,512,512,,178
20025,1.25,0.855469,512,512,,790
20026,1.25,0.521484,512,512,,301
20027,1.25,0.910156,512,512,,421
20028,8.0,0.703125,512,512,,65
20029,5.0,0.785156,512,512,,107
20030,5.0,0.732,512,512,,111
20031,2.0,0.723,512,512,,421
20032,5.0,0.675,512,512,,181
20033,5.0,0.869140625,512,512,,98
20034,5.0,0.961,512,512,,89
20035,1.5,0.603515625,512,512,,274
20036,1.5,0.77734375,512,512,,298
20037,2.0,0.92628125,512,512,,253
20038,2.0,0.87890625,512,512,,300
20039,1.25,0.703125,512,512,,253
20040,2.0,0.751,512,512,,227
20041,1.25,0.804688,512,512,,399
20042,1.0,0.683,512,512,,463
20043,3.0,0.919921875,512,512,,203
20044,1.25,0.835938,512,512,,400
20045,1.5,0.875,512,512,,490
20046,2.0,0.732,512,512,,126
20047,1.25,0.763672,512,512,,426
20048,5.0,0.841796875,512,512,,100
20049,1.25,0.978,512,512,,391
20050,1.25,0.976562,512,512,,404
20051,1.0,0.822265625,512,512,,707
20052,2.0,0.84375,512,512,,488
20053,3.0,0.7578125,512,512,,117
20054,1.0,0.87890625,512,512,,801
20055,1.5,0.90234375,512,512,,455
