case,slice_thickness,pixel_spacing,rows,cols,kvp,n_slices
20001,5.0,0.703125,512,512,,19
20002,2.0,0.839,512,512,,232
20003,1.0,0.8627421875,512,512,,646
20004,4.0,0.58984375,768,768,,132
20005,3.0,0.8359375,512,512,,146
20006,5.0,0.7675781,512,512,,85
20007,3.0,0.724,512,512,,149
20008,1.25,0.863281,512,512,,416
20009,3.0,0.91796875,512,512,,163
20010,1.0,0.754,512,512,,583
20011,3.0,0.708,512,512,,169
20012,3.0,0.824,512,512,,180
20013,1.0,0.78,512,512,,466
20014,1.25,0.960938,512,512,,416
20015,5.0,0.839844,512,512,,86
20016,1.25,0.796875,512,512,,405
20017,2.5,0.761719,512,512,,207
20018,2.5,0.761719,512,512,,229
20019,3.0,0.93359375,512,512,,248
20020,3.0,0.419796875,512,512,,107
20021,2.0,0.763,512,512,,241
20022,3.0,0.757813,512,512,,304
20023,2.5,0.736328,512,512,,204
20024,2.5,0.814453,512,512,,189
20025,4.0,0.83203125,512,512,,125
20026,1.25,0.832031,512,512,,366
20027,1.25,0.978,512,512,,391
20028,1.25,0.960938,512,512,,391
20029,3.75,0.783203,512,512,,136
20030,1.5,0.9763203125,512,512,,404
20031,1.25,0.806641,512,512,,471
20032,5.0,0.781,512,512,,102
20033,2.5,0.976562,512,512,,399
20034,2.5,0.767578,512,512,,195
20035,3.0,1.049,512,512,,146
20036,5.0,0.716797,512,512,,163
20037,3.0,0.736,512,512,,158
20038,1.25,0.728516,512,512,,340
20039,1.5,0.837890625,512,512,,317
20040,2.0,0.857421875,512,512,,240
20041,2.0,0.892,512,512,,256
20042,5.0,0.846,512,512,,88
20043,6.0,0.826171875,512,512,,92
20044,1.25,0.875,512,512,,363
20045,3.0,0.9609375,512,512,,176
20046,1.0,0.978,512,512,,560
20047,3.0,0.822265625,512,512,,330
20048,1.25,0.804688,512,512,,421
20049,3.0,0.7734375,512,512,,161
20050,2.5,0.74,512,512,,224
20051,2.0,0.927,512,512,,224
20052,1.0,0.723,512,512,,559
20053,1.0,0.724,512,512,,514
20054,3.0,0.677,512,512,,153
20055,1.5,0.935546875,512,512,,511
20056,5.0,0.78125,512,512,,105
20057,2.0,0.9765625,512,512,,237
20058,5.0,0.724,512,512,,97
20059,2.0,1.033,512,512,,267
20060,3.0,0.97631640625,512,512,,161
20061,3.0,0.779296875,512,512,,159
20062,1.0,0.779296875,512,512,,681
20063,1.0,0.869140625,512,512,,428
20064,5.0,0.976562,512,512,,105
20065,1.25,0.976562,512,512,,404
20066,3.0,0.68359375,512,512,,297
20067,3.0,0.72265625,512,512,,156
20068,3.0,0.761,512,512,,730
20069,1.25,0.820312,512,512,,838
20070,2.0,0.797,512,512,,282
20071,1.0,0.639,512,512,,436
20072,3.0,0.78,512,512,,165
20073,5.0,0.68359375,512,512,,80
20074,5.0,0.93,512,512,,94
20075,3.0,0.76951171875,512,512,,147
20076,3.0,0.782,512,512,,158
20077,0.5,0.782,512,512,,1571
20078,3.0,0.76953125,512,512,,172
20079,3.0,0.85,512,512,,141
20080,5.0,0.801,512,512,,99
20081,5.0,0.915,512,512,,96
20082,3.0,0.765625,512,512,,179
20083,3.0,0.818,512,512,,163
20084,3.0,0.724,512,512,,189
20085,2.5,0.917969,512,512,,213
20086,1.0,0.92,512,512,,527
20087,4.0,0.9375,512,512,,119
20088,2.5,0.839844,512,512,,181
20089,1.25,0.839844,512,512,,480
20090,3.0,0.805,512,512,,146
20091,2.0,0.723,512,512,,245
20092,0.5,0.703125,512,512,,1004
20093,3.0,0.94140625,512,512,,171
20094,2.0,0.858,512,512,,243
20095,5.0,0.935546875,512,512,,91
20096,5.0,0.763,512,512,,103
20097,1.25,0.775391,512,512,,506
20098,3.0,0.766,512,512,,144
20099,5.0,0.869,512,512,,113
20100,1.25,0.779,512,512,,414
20101,2.5,0.703125,512,512,,186
20102,1.0,0.853515625,512,512,,420
20103,2.5,0.611328,512,512,,167
20104,5.0,0.934,512,512,,91
20105,5.0,0.723,512,512,,129
20106,5.0,0.859375,512,512,,105
20107,1.0,0.858,512,512,,481
20108,1.5,0.833984375,512,512,,337
20109,3.0,0.789,512,512,,167
20110,3.0,0.748046875,512,512,,189
20111,1.0,0.801,512,512,,538
20112,5.0,0.724,512,512,,92
20113,1.25,0.865234,512,512,,424
20114,3.0,0.91015625,512,512,,172
20115,2.5,0.732422,512,512,,172
